,France,Germany,UK,US,,,,
1920,,3.8,3.2,8.6,,,,
1921,5,2.8,17,19.5,,,,
1922,2,1.5,14.3,11.4,,,,
1923,2,10.2,11.7,4.1,,,,
1924,3,13.1,10.3,8.3,,,,
1925,3,6.8,11.3,5.4,,,,
1926,3,18,12.5,2.9,,,,
1927,11,8.8,9.7,5.4,,,,
1928,4,8.6,10.8,6.9,,,,
1929,1,13.3,10.4,5.3,,,,
1930,2,22.7,16.1,14.2,,,,https://www.irle.berkeley.edu/files/1998/Interwar-Unemployment-In-International-Perspective.pdf
1931,6.5,34.3,21.3,25.2,,,,
1932,15.4,43.8,22.1,36.3,,,,
1933,14.1,36.2,19.9,37.6,,,,
1934,13.8,20.5,16.7,32.6,,,,
1935,14.5,16.2,15.5,30.2,,,,
1936,10.4,12,13.1,25.2,,,,
1937,7.4,6.9,10.8,21.3,,,,
1938,7.8,3.2,12.9,27.9,,,,
1939,8.1,0.9,10.5,,,,,