aircraft,counts,Belligerent 
Il-2,7553,USSR
LaGG,6476,USSR
Spitfire,5251,UK
Jak,4991,USSR
B-17,4368,USA
B-24,2350,USA
Lancaster,2140,UK
Hurricane,2047,UK
Pe-2,2036,USSR
P-40,1764,US
P-39,1730,US
DB-3,1687,USSR
P-47,1298,USA
Halifax,1216,UK
P-51,1181,USA
P-38,1155,USA
MiG-3,1115,USSR
La-5,992,USSR
SB-2,958,USSR
Wellington,950,UK
Boston,827,USA
4-mot.Flzg.,824,USA
I-18,765,USSR
I-16Rata,755,USSR
I-153,650,USSR
R-5,644,USSR
Blenheim,626,UK
I-16,624,USSR
I-61,582,USSR
SB-3,498,USSR
Stirling,484,USSR
MiG-1,482,USSR
Abschuьѕ™¦ђј,468,
4-mot.Flgz.,306,USA
U-2,282,USSR
Il-4,259,USSR
I-15,251,USSR
Morane406,249,France
V-11,231,USSR
Mosquito,213,UK
Beaufighter,205,UK
P-2,204,USSR
I-26,200,USSR
Kittyhawk,185,USA
Curtiss,180,USA
B-26,179,USA
Typhoon,166,UK
I-180,165,USSR
Hampden,155,UK
R-10,142,USSR
Il-5,136,USSR
PS-84,115,USSR
Il-7,113,USSR
R-3,107,USSR
Potez63,105,USSR
Mitchell,104,USA
Whitley,104,UK
Hudson,96,USA
Beaufort,93,UK
I-17,80,USSR
DB-3F,78,
Abschuьѕ™¦ђј**,75,
Morane,70,
Battle,69,
B-25,66,USA
I-301,66,
ZKB-19,66,
PZLP-24,65,
Lightning,60,USA
RZ,58,
Marauder,57,USA
Hawk-75A,56,
LeO451,55,
CurtissP-46,48,
WhitleyV,48,
DB-7,45,
Auster,44,
Bloch151,44,
MBR-2,42,
Lysander,41,
Su-2,41,
Manchester,40,
DJ-6,38,
Tempest,38,
Sunderland,35,
Defiant,33,
R-Z,33,
TB-3,33,
Ventura,33,
Li-2,30,
Gladiator,28,
AusterIII,27,
Martin167,26,
DC-3,25,
BlenheimIV,24,
Dragonfly,24,
Douglas,23,
PZLP-23,23,
shared,23,
HalifaxII,22,
Skua,21,
TB-7,21,
Fesselballon,20,
Swordfish,20,
2-mot.Flzg.,19,
Bf109E,18,
CurtissP-36,18,
Morane405,18,
Seversky,17,
unbekannt,17,
Whirlwind,16,
Baltimore,15,
ER-2,15,
Tomahawk,15,
BB-22,13,
Fury,13,
Bloch152,12,
DouglasDC-3,12,
IAR-80,12,
JьѕЌ†”јger,12,
La-7,12,
Bf109,11,
DB-3A,11,
DouglasA-20,11,
Lagg,11,
Maryland,11,
Albacore,10,
Martin(SB-2),10,
FokkerD.XXI,9,
PZLP-37,9,
A-20,8,
Aircobra,8,
Mureaux,8,
R-2,8,
Tiefangriffsflgzg.,8,
franz.JьѕЌ†”јger,8,
4-motFlgz.,7,
BlenheimI,7,
Bloch131,7,
Doppeldecker,7,
Mureaux115,7,
R-Zet,7,
Schlachtflgzg.,7,
Bloch150,6,
BrьѕЋ–”јguet693,6,
Catalina,6,
Hereford,6,
PZL-37P,6,
ьѕ™†€јWhitley,6,
Bf109*,5,
BrьѕЋ–”јguet690,5,
Er-2,5,
FiatCR.42,5,
Hawk75,5,
I-5,5,
Marauder*,5,
Re-2,5,
SM.84,5,
Tiefdecker,5,
eng.Torp.-Flzg.,5,
An-6,4,
Anson,4,
B-25*,4,
Brewster,4,
C-47,4,
Caudron710,4,
D-XXI,4,
DB-3a,4,
Dewoitine,4,
Fokker,4,
HalifaxIII,4,
Kittyhawk*,4,
Martin(DB-3),4,
Martlet,4,
MiG,4,
MiGG-3,4,
PZLP-43,4,
Potez-63,4,
Unbekannt,4,
unk.,4,
ьѕ™†€јWhitleyV,4,
2-mot.Flgz.,3,
A-36,3,
BP-100,3,
Bisley[BlenheimV],3,
Bloch,3,
Bombay,3,
Bomber,3,
Convoy,3,
D.H.Rapide,3,
EP-2,3,
FAAAlbacore,3,
Flugboot,3,
FokkerG-1,3,
FokkerT.V,3,
Hellcat,3,
Hs129,3,
I-153**,3,
IAR-39,3,
IK-2,3,
JьѕЌ†”јger*,3,
Kampflzg.,3,
La-5*,3,
LeO45,3,
LublinRXIII,3,
P-63,3,
PB-100,3,
PZL-37,3,
Po-2,3,
Roc,3,
Russ.JьѕЌ†”јger,3,
SB-2bis,3,
Spitifre,3,
UT-2,3,
Unident.,3,
Unident:,3,
1-mot.Flzg.,2,
2-mot.Flgz.**,2,
2-motTiefdecker,2,
A-36Jabo,2,
ARK-3,2,
AuflkьѕЌ†”јrer,2,
AviaB.33E,2,
B-16,2,
B-25w.b.,2,
BB-100,2,
Bell-39,2,
Blenheim*,2,
Bloch200,2,
Bloch210,2,
Breda88,2,
Brit.Flgz.,2,
Buffalo,2,
Consolidated,2,
CurtissHawk75A,2,
DB-3**,2,
Dewoitine520,2,
FokkerC.V,2,
FokkerC.X,2,
Fulmar,2,
Go145,2,
Havoc,2,
I-116,2,
I-15Rata,2,
I-181,2,
JG26,2,
Jagdflzg.,2,
KittyhawkII,2,
La-5o.Z.,2,
La-5w.b.,2,
P-36,2,
P-61,2,
PZL,2,
Pe-2*,2,
PiperL-4,2,
Potez631,2,
R-4,2,
R-5**,2,
Rata,2,
SB,2,
Schl.-Flgzg.,2,
Seal,2,
T-34*,2,
TB-6,2,
TomahawkI,2,
U-1,2,
Viermot,2,
Wapiti,2,
Wasserflgzg.,2,
Wellesley,2,
unbek.Typ,2,
ьѕ™†€јHalifax,2,
ьѕ™†€јSunderland,2,
ьѕ™†€јfrz.Wasserflgzg,2,
1n.b.,1,
A-20A,1,
AR-2,1,
Amiot,1,
Amiot-341,1,
Amiot143,1,
Amiot341,1,
Amiot351,1,
Ar-2,1,
AufklьѕЌ†”јrer,1,
Austern.b.,1,
Avenger,1,
Avia,1,
B-2,1,
B-25n.b.,1,
B-51,1,
BB-1,1,
BB-5,1,
BSch,1,
BSchFL2,1,
Balloon,1,
Beaufighter*,1,
Beaufort**,1,
Beo.Ballon,1,
BisleyV*,1,
Blehheim,1,
Bmbr-41,1,
Boeing,1,
Boeing-S.,1,
Bregeut693,1,
Breguet,1,
BreguetXIX,1,
Cant1007,1,
Caribou,1,
Catalina*,1,
Caudron,1,
Consolidated29,1,
CurtissO-52,1,
CurtissP-43,1,
CurtissP-49,1,
DB-2,1,
Doppeldeck,1,
DouglasDC-4,1,
Dougles,1,
E.Stalingrad:tiefflug,1,
Einmot,1,
Er-3,1,
Er-7,1,
FW190,1,
Fessel-ballon,1,
Fesselbaloon,1,
Fi156,1,
FiatBr.20,1,
Flamingo,1,
"Flz.""Horsa""",1,
Flzg.boot,1,
FokkerF.IX,1,
FokkerG.1,1,
FokkerTVIII,1,
Haifax,1,
Hakifax,1,
Halifax?,1,
Handley,1,
He111,1,
Herford,1,
Hohedecker,1,
HudsonII,1,
I-160,1,
I-161,1,
I-16Rata**,1,
I-18(61),1,
I-18?,1,
I-26o.Hurr.,1,
I-26od.I-18,1,
IAR-38,1,
IAR-81,1,
IL-2,1,
IL-2o.Zg.,1,
IaR-38,1,
Il-1,1,
Il-18,1,
Jagdflgz.,1,
Ju87,1,
Ju88,1,
Kampflzg,1,
Kittykawk,1,
Koolhoven,1,
KoolhovenFK58,1,
Kor-1,1,
KurierFlzg.,1,
Lagg-3,1,
Li-5,1,
Li-6,1,
Lockheed,1,
Lockheed14,1,
Lysander?,1,
Martin,1,
Mehrzweckflgzg.,1,
MiG-2,1,
MiG-5,1,
MoraneMs-406,1,
Mureaux117,1,
NAA64,1,
Oxford,1,
P-2U,1,
P-3,1,
PS-40,1,
PZL-23,1,
PZL-43,1,
PZLP.11,1,
PZLP.24,1,
Pe-2`,1,
Pe-3,1,
Piper,1,
Potes63,1,
Potez,1,
Potez25,1,
R-15,1,
R-6,1,
R-XIII,1,
R-Zet.,1,
RAFJagdflzg.*,1,
RIII,1,
Re-40,1,
Reiseflgzg.,1,
Ryan,1,
SM.79,1,
SU-2,1,
Schnellboot,1,
Schulflgzg.,1,
Schulflugzeug,1,
Seeflzg.,1,
SkuaorRoc,1,
Sperrballon,1,
Spitire*,1,
Stranraer,1,
T-34/85,1,
TB-4,1,
Taylorcraft,1,
TempestV,1,
Thuderbolt,1,
Tiefangr.-Flgzg.,1,
U-2*,1,
U-2[Po-2],1,
Valentia,1,
Vengeance,1,
Vigilant,1,
Vultee-11,1,
WER-2,1,
Walrus,1,
Wellingon,1,
Wellinton,1,
WhitleyIII,1,
YB-40,1,
Yab-7B,1,
Zweimot,1,
eim-mot,1,
einmot,1,
engl.JьѕЌ†”јger,1,
russ.Zerst.,1,
unb.JьѕЌ†”јger,1,
unident:,1,
v.Halifax,1,
v.Stirling,1,
vm.Halifax,1,
vm.JьѕЌ†”јger,1,